các | loài
trực tuyến | là
tuyến là | nhằm
là nhằm | duy
nhằm duy | trì
duy trì | hoạt
trì hoạt | động
hoạt động | các
động các | trang
các trang | web
trang web | độc
web độc | hại
độc hại | của
hại của | chúng
của chúng | quyến
chúng quyến | rũ
quyến rũ | cùng
rũ cùng | nội
cùng nội | thất
nội thất | bằng
thất bằng | sắt
bằng sắt | một
sắt một | người
một người | mẹ
người mẹ | tìm
mẹ tìm | đến
tìm đến | chuyên
đến chuyên | viên
chuyên viên | tư
viên tư | vấn
tư vấn | tâm
vấn tâm | lý
tâm lý | trẻ
lý trẻ | em
trẻ em | vì
em vì | cô
vì cô | không
cô không | hiểu
không hiểu | nổi
hiểu nổi | tại
nổi tại | sao
tại sao | các
sao các | con
các con | của
con của | cô
của cô | lại
cô lại | phản
lại phản | ứng
phản ứng | khi
ứng khi | được
khi được | mẹ
được mẹ | khen
mẹ khen | ngợi
khen ngợi | đó
ngợi đó | là
đó là | người
là người | đã
người đã | bán
đã bán | nhà
bán nhà | cho
nhà cho | gia
cho gia | đình
gia đình | bà
đình bà | lâm
bà lâm | đồng
lâm đồng | đang
đồng đang | ở
đang ở | bên
ở bên | bờ
bên bờ | vực
bờ vực | rớt
vực rớt | hạng
rớt hạng | buộc
hạng buộc | họ
buộc họ | phải
họ phải | nỗ
phải nỗ | lực
nỗ lực | hết
lực hết | sức
hết sức | mình
sức mình | để
mình để | tìm
để tìm | điểm
tìm điểm | trước
điểm trước | thừa
trước thừa | thiên
thừa thiên | huế
thiên huế | nguồn
huế nguồn | chứa
nguồn chứa | calci
chứa calci | tốt
calci tốt | nhất
tốt nhất | là
nhất là | sữa
là sữa | và
sữa và | sản
và sản | phẩm
sản phẩm | từ
phẩm từ | sữa
từ sữa | cá
sữa cá | nhỏ
cá nhỏ | nguyên
nhỏ nguyên | xương
nguyên xương | nghêu
xương nghêu | sò
nghêu sò | ốc
sò ốc | tôm
ốc tôm | cua
tôm cua | với
cua với | kiến
với kiến | thức
kiến thức | học
thức học | được
học được | nhiều
được nhiều | học
nhiều học | sinh
học sinh | đã
sinh đã | tư
đã tư | vấn
tư vấn | cho
vấn cho | người
cho người | thân
người thân | có
thân có | cửa
có cửa | hàng
cửa hàng | kinh
hàng kinh | doanh
kinh doanh | ý
doanh ý | thức
ý thức | được
thức được | việc
được việc | phải
việc phải | đăng
phải đăng | ký
đăng ký | thương
ký thương | hiệu
thương hiệu | của
hiệu của | cửa
của cửa | hàng
cửa hàng | cô
hàng cô | nguyễn
cô nguyễn | thị
nguyễn thị | việt
thị việt | hồng
việt hồng | hiệu
hồng hiệu | phó
hiệu phó | trường
phó trường | tiểu
trường tiểu | học
tiểu học | phường
học phường | 7a
phường 7a | cứ
7a cứ | lấy
cứ lấy | tay
lấy tay | bịt
tay bịt | mũi
bịt mũi | mỗi
mũi mỗi | khi
mỗi khi | có
khi có | một
có một | luồng
một luồng | gió
luồng gió | mạnh
gió mạnh | từ
mạnh từ | bên
từ bên | ngoài
bên ngoài | đưa
ngoài đưa | vào
đưa vào | ngoài
vào ngoài | việc
ngoài việc | đề
việc đề | cập
đề cập | đến
cập đến | công
đến công | tác
công tác | tổ
tác tổ | chức
tổ chức | nước
chức nước | chủ
nước chủ | nhà
chủ nhà | philippines
nhà philippines | một
philippines một | số
một số | tờ
số tờ | báo
tờ báo | còn
báo còn | đưa
còn đưa | tin
đưa tin | khá
tin khá | kịp
khá kịp | thời
kịp thời | và
thời và | chi
và chi | tiết
chi tiết | về
tiết về | động
về động | thái
động thái | của
thái của | các
của các | đoàn
các đoàn | thể
đoàn thể | thao
thể thao | trong
thao trong | khu
trong khu | vực
khu vực | đông
vực đông | nam
đông nam | á
nam á | đặc
á đặc | biệt
đặc biệt | có
biệt có | tờ
có tờ | còn
tờ còn | đưa
còn đưa | cả
đưa cả | ý
cả ý | kiến
ý kiến | của
kiến của | trưởng
của trưởng | đoàn
trưởng đoàn | thể
đoàn thể | thao
thể thao | việt
thao việt | nam
việt nam | nguyễn
nam nguyễn | hồng
nguyễn hồng | minh
hồng minh | về
minh về | kết
về kết | quả
kết quả | bốc
quả bốc | thăm
bốc thăm | môn
thăm môn | bóng
môn bóng | đá
bóng đá | nam
đá nam | tại
nam tại | sea
tại sea | games
sea games | 23
các | khoá
các khoá | học
khoá học | của
học của | trường
của trường | bất
trường bất | chấp
bất chấp | những
chấp những | chứng
những chứng | cứ
chứng cứ | cùng
cứ cùng | lời
cùng lời | khai
lời khai | của
khai của | đồng
của đồng | bọn
đồng bọn | hạnh
bọn hạnh | phủ
hạnh phủ | nhận
phủ nhận | mọi
nhận mọi | hành
mọi hành | vi
hành vi | mà
vi mà | cáo
mà cáo | trạng
cáo trạng | đã
trạng đã | quy
đã quy | cho
quy cho | bị
cho bị | cáo
bị cáo | trường
cáo trường | hợp
trường hợp | của
hợp của | bạn
của bạn | sau
bạn sau | 3
sau 3 | lần
3 lần | dùng
lần dùng | thuốc
dùng thuốc | tránh
thuốc tránh | thai
tránh thai | khẩn
thai khẩn | cấp
khẩn cấp | có
cấp có | rối
có rối | loạn
rối loạn | kỳ
loạn kỳ | kinh
kỳ kinh | và
kinh và | rong
và rong | kinh
rong kinh | kéo
kinh kéo | dài
kéo dài | đã
dài đã | 5
đã 5 | tháng
5 tháng | nay
tháng nay | chính
nay chính | cô
chính cô | nàng
cô nàng | đã
nàng đã | sử
đã sử | dụng
sử dụng | thân
dụng thân | thể
thân thể | ấm
thể ấm | áp
ấm áp | của
áp của | mình
của mình | để
mình để | che
để che | chở
che chở | cho
chở cho | cụ
cho cụ | chuột
cụ chuột | lùn
chuột lùn | khỏi
lùn khỏi | chết
khỏi chết | cóng
chết cóng | thời
cóng thời | gian
thời gian | qua
gian qua | công
qua công | an
công an | các
an các | địa
các địa | phương
địa phương | đã
phương đã | bắt
đã bắt | giữ
bắt giữ | 10
giữ 10 | 583
10 583 | vụ
583 vụ | 18
vụ 18 | 847
18 847 | đối
847 đối | tượng
đối tượng | cờ
tượng cờ | bạc
cờ bạc | dưới
bạc dưới | hình
dưới hình | thức
hình thức | lô
thức lô | đề
lô đề | thu
đề thu | giữ
thu giữ | hơn
giữ hơn | 14
hơn 14 | tỉ
14 tỉ | đồng
tỉ đồng | 8
đồng 8 | 555
8 555 | xe
555 xe | máy
xe máy | 18
máy 18 | xe
18 xe | ô
xe ô | tô
ô tô | bắt
tô bắt | giữ
bắt giữ | 495
giữ 495 | vụ
495 vụ | cá
vụ cá | độ
cá độ | với
độ với | hơn
với hơn | 4
hơn 4 | 000
4 000 | đối
000 đối | tượng
đối tượng | tang
tượng tang | vật
tang vật | thu
vật thu | giữ
thu giữ | tổng
giữ tổng | cộng
tổng cộng | hơn
cộng hơn | 10
hơn 10 | tỉ
10 tỉ | đồng
tỉ đồng | hàng
đồng hàng | trăm
hàng trăm | nghìn
trăm nghìn | usd
nghìn usd | và
usd và | nhiều
và nhiều | ô
nhiều ô | tô
ô tô | xe
tô xe | máy
xe máy | máy
máy máy | vi
máy vi | tính
một | nguồn
một nguồn | tin
nguồn tin | cho
tin cho | biết
cho biết | cqđt
biết cqđt | đã
cqđt đã | phát
đã phát | hiện
phát hiện | dấu
hiện dấu | hiệu
dấu hiệu | sai
hiệu sai | phạm
sai phạm | của
phạm của | ông
của ông | việt
ông việt | tiến
việt tiến | tại
tiến tại | dự
tại dự | án
dự án | cầu
án cầu | phả
cầu phả | lại
phả lại | văn
lại văn | chương
văn chương | gắn
chương gắn | liền
gắn liền | với
liền với | từng
với từng | bước
từng bước | đi
bước đi | của
đi của | tôi
của tôi | và
tôi và | nay
và nay | tôi
nay tôi | được
tôi được | bầu
được bầu | vào
bầu vào | viện
vào viện | hàn
viện hàn | lâm
hàn lâm | thế
lâm thế | giới
thế giới | những
giới những | người
những người | dị
người dị | ứng
dị ứng | với
ứng với | thiết
với thiết | bị
thiết bị | này
bị này | cho
này cho | rằng
cho rằng | nền
rằng nền | văn
nền văn | hóa
văn hóa | điện
hóa điện | thoại
điện thoại | di
thoại di | động
di động | đang
động đang | gây
đang gây | ra
gây ra | những
ra những | tác
những tác | động
tác động | ngày
động ngày | càng
ngày càng | khó
càng khó | chịu
khó chịu | đối
chịu đối | với
đối với | sinh
với sinh | hoạt
sinh hoạt | nơi
hoạt nơi | công
nơi công | cộng
công cộng | ở
cộng ở | nhiều
ở nhiều | thành
nhiều thành | phố
thành phố | lớn
farid | manan
farid manan | phó
manan phó | tổng
phó tổng | giám
tổng giám | đốc
giám đốc | hãng
đốc hãng | graha
hãng graha | elektrik
graha elektrik | nhà
elektrik nhà | phân
nhà phân | phối
phân phối | độc
phối độc | quyền
độc quyền | của
quyền của | siemens
của siemens | tại
siemens tại | indonesia
tại indonesia | cho
indonesia cho | biết
cho biết | cuộc
biết cuộc | khảo
cuộc khảo | sát
khảo sát | của
sát của | chúng
của chúng | tôi
chúng tôi | năm
tôi năm | ngoái
năm ngoái | cho
ngoái cho | thấy
cho thấy | số
thấy số | thanh
số thanh | niên
thanh niên | tỏ
niên tỏ | ra
tỏ ra | áp
ra áp | đảo
áp đảo | đối
đảo đối | tượng
đối tượng | lớn
tượng lớn | tuổi
lớn tuổi | về
tuổi về | sử
về sử | dụng
sử dụng | điện
dụng điện | thoại
điện thoại | thủ
thoại thủ | tướng
thủ tướng | myanmar
tướng myanmar | bị
myanmar bị | ép
bị ép | từ
ép từ | chức
từ chức | nhưng
chức nhưng | hiện
nhưng hiện | nay
hiện nay | các
nay các | cuộc
các cuộc | thi
cuộc thi | nhan
thi nhan | sắc
nhan sắc | cứ
sắc cứ | loạn
cứ loạn | cả
loạn cả | lên
cả lên | ai
lên ai | cũng
ai cũng | có
cũng có | thể
có thể | tổ
thể tổ | chức
tổ chức | được
chức được | nếu
được nếu | không
nếu không | thương
không thương | em
thương em | thì
em thì | đừng
thì đừng | quay
đừng quay | trở
quay trở | lại
trở lại | và
lại và | hứa
và hứa | với
hứa với | em
với em | bỏ
em bỏ | qua
bỏ qua | tất
qua tất | cả
tất cả | lúc
cả lúc | trung
lúc trung | đăng
trung đăng | bài
đăng bài | viết
bài viết | là
viết là | tụi
là tụi | em
tụi em | chia
em chia | tay
chia tay | rồi
tay rồi | đà
rồi đà | lạt
đà lạt | giá
lạt giá | phòng
giá phòng | tăng
phòng tăng | gấp
tăng gấp | đôi
gấp đôi | tin
đôi tin | ban
tin ban | đầu
ban đầu | cho
đầu cho | hay
cho hay | tô
hay tô | phúc
tô phúc | hậu
phúc hậu | chính
hậu chính | là
chính là | người
là người | trực
người trực | tiếp
trực tiếp | tham
tiếp tham | gia
tham gia | làm
gia làm | thẻ
làm thẻ | atm
thẻ atm | giả
atm giả | để
giả để | thực
để thực | hiện
thực hiện | hành
hiện hành | vi
hành vi | lấy
vi lấy | cắp
lấy cắp | tiền
cắp tiền | trong
tiền trong | các
trong các | tài
các tài | khoản
tài khoản | tại
khoản tại | máy
tại máy | rút
máy rút | tiền
rút tiền | tự
tiền tự | động
tự động | máy
động máy | atm
máy atm | mới
atm mới | đây
mới đây | hội
đây hội | đồng
hội đồng | hạt
đồng hạt | tiêu
hạt tiêu | thế
tiêu thế | giới
thế giới | ipc
giới ipc | đã
ipc đã | đưa
đã đưa | ra
đưa ra | đánh
ra đánh | giá
đánh giá | về
giá về | sản
về sản | lượng
sản lượng | hạt
lượng hạt | tiêu
hạt tiêu | thế
tiêu thế | giới
thế giới | bệnh
giới bệnh | sán
bệnh sán | lá
sán lá | gan
lá gan | lớn
gan lớn | đã
lớn đã | xuất
đã xuất | hiện
xuất hiện | tại
hiện tại | 12
tại 12 | tỉnh
12 tỉnh | miền
tỉnh miền | trung
miền trung | trong
trung trong | đó
trong đó | tập
đó tập | trung
tập trung | nhiều
trung nhiều | nhất
nhiều nhất | tại
nhất tại | hai
tại hai | tỉnh
hai tỉnh | bình
tỉnh bình | định
bình định | và
định và | phú
và phú | yên
phú yên | hai
yên hai | trọng
hai trọng | tài
trọng tài | biên
tài biên | là
biên là | ivaldi
là ivaldi | và
ivaldi và | pisacreta
và pisacreta | kỷ
pisacreta kỷ | lục
kỷ lục | trước
lục trước | đây
trước đây | do
đây do | nhà
do nhà | thám
nhà thám | hiểm
thám hiểm | henry
hiểm henry | shelford
henry shelford | lập
shelford lập | năm
lập năm | 2004
năm 2004 | khi
2004 khi | ông
khi ông | tự
ông tự | thết
tự thết | đãi
thết đãi | một
đãi một | bữa
một bữa | ăn
bữa ăn | thịnh
ăn thịnh | soạn
thịnh soạn | trên
soạn trên | một
trên một | ngọn
một ngọn | núi
ngọn núi | cao
núi cao | 6
cao 6 | 800m
6 800m | ở
800m ở | tây
ở tây | tạng
tây tạng | thủ
tạng thủ | tướng
thủ tướng | yêu
tướng yêu | cầu
yêu cầu | xử
cầu xử | lý
xử lý | cán
lý cán | bộ
cán bộ | khởi
bộ khởi | tố
khởi tố | oan
tố oan | sai
oan sai | giá
sai giá | bán
giá bán | mỗi
bán mỗi | m2
mỗi m2 | là
m2 là | 2
là 2 | 000
2 000 | usd
ông | nguyễn
ông nguyễn | văn
nguyễn văn | trung
văn trung | chủ
trung chủ | công
chủ công | ty
công ty | trên
ty trên | đã
trên đã | mua
đã mua | quyền
mua quyền | sử
quyền sử | dụng
sử dụng | khu
dụng khu | đất
khu đất | với
đất với | giá
với giá | 53
giá 53 | tỷ
53 tỷ | đồng
tỷ đồng | chàng
đồng chàng | kỹ
chàng kỹ | sư
kỹ sư | xây
sư xây | dựng
xây dựng | và
dựng và | con
và con | robot
con robot | thám
robot thám | hiểm
thám hiểm | cống
hiểm cống | ngầm
cống ngầm | và
ngầm và | liệu
và liệu | người
liệu người | như
người như | thế
như thế | liệu
thế liệu | có
liệu có | đáng
có đáng | tin
đáng tin | cậy
tin cậy | để
cậy để | bạn
để bạn | nương
bạn nương | tựa
nương tựa | cả
tựa cả | đời
cả đời | file
đời file | chứa
file chứa | sâu
chứa sâu | rontokbro
sâu rontokbro | lây
rontokbro lây | nhiễm
lây nhiễm | vào
nhiễm vào | các
vào các | hệ
các hệ | điều
hệ điều | hành
điều hành | windows
hành windows | 95
windows 95 | 98
95 98 | me
98 me | nt
me nt | 2000
nt 2000 | xp
2000 xp | server
xp server | 2003
server 2003 | dưới
2003 dưới | hình
dưới hình | thức
hình thức | phát
thức phát | tán
phát tán | gửi
tán gửi | bản
gửi bản | sao
bản sao | của
sao của | nó
của nó | trong
nó trong | file
trong file | đính
file đính | kèm
đính kèm | e
kèm e | mail
e mail | kate
mail kate | beckinsale
kate beckinsale | diễn
beckinsale diễn | viên
diễn viên | anh
viên anh | đẹp
anh đẹp | nhất
đẹp nhất | nhưng
nhất nhưng | phải
nhưng phải | thừa
phải thừa | nhận
thừa nhận | rằng
nhận rằng | u23
rằng u23 | thái
u23 thái | lan
thái lan | là
lan là | đội
là đội | bóng
đội bóng | có
bóng có | đẳng
có đẳng | cấp
đẳng cấp | hơn
cấp hơn | hẳn
hơn hẳn | chúng
hẳn chúng | ta
chúng ta | rất
ta rất | nhiều
rất nhiều | người
nhiều người | nói
người nói | rằng
nói rằng | giovanni
rằng giovanni | agnelli
giovanni agnelli | là
agnelli là | một
là một | trong
một trong | rất
trong rất | ít
rất ít | doanh
ít doanh | nhân
doanh nhân | miền
nhân miền | bắc
miền bắc | italy
bắc italy | lại
italy lại | sử
lại sử | dụng
sử dụng | những
dụng những | người
những người | từ
người từ | miền
từ miền | nam
miền nam | và
nam và | đối
và đối | xử
đối xử | rất
xử rất | bình
rất bình | đẳng
bình đẳng | với
đẳng với | họ
với họ | đặc
họ đặc | biệt
đặc biệt | bạn
biệt bạn | có
bạn có | thể
có thể | giảm
thể giảm | nửa
giảm nửa | kilo
nửa kilo | trong
kilo trong | một
trong một | tuần
1 | hoàng
1 hoàng | ngọc
hoàng ngọc | linh
ngọc linh | chìm
linh chìm | nghỉm
chìm nghỉm | sau
nghỉm sau | mùa
sau mùa | bóng
mùa bóng | 2005
bóng 2005 | là
2005 là | cầu
là cầu | thủ
cầu thủ | nội
thủ nội | ghi
nội ghi | nhiều
ghi nhiều | bàn
nhiều bàn | thắng
bàn thắng | nhất
thắng nhất | v
nhất v | league
v league | những
league những | người
những người | này
người này | cần
này cần | phải
cần phải | chịu
phải chịu | hình
chịu hình | phạt
hình phạt | nghiêm
phạt nghiêm | khắc
nghiêm khắc | bác
khắc bác | sĩ
bác sĩ | đã
sĩ đã | trao
đã trao | đổi
trao đổi | và
đổi và | giải
và giải | thích
giải thích | điều
thích điều | này
điều này | với
này với | cậu
với cậu | bé
cậu bé | trước
bé trước | khi
trước khi | yêu
khi yêu | cầu
yêu cầu | cậu
cầu cậu | đồng
cậu đồng | ý
đồng ý | cho
ý cho | cô
cho cô | em
cô em | gái
em gái | những
gái những | giọt
những giọt | máu
giọt máu | của
máu của | mình
của mình | công
mình công | an
công an | phường
an phường | xã
phường xã | xử
xã xử | phạt
xử phạt | vi
phạt vi | phạm
vi phạm | giao
phạm giao | thông
giao thông | qua
thông qua | hình
qua hình | ảnh
hình ảnh | nlđ
ảnh nlđ | công
nlđ công | an
công an | tp
an tp | vừa
tp vừa | đề
vừa đề | xuất
đề xuất | với
xuất với | ubnd
với ubnd | tp
ubnd tp | thực
tp thực | hiện
thực hiện | phân
hiện phân | cấp
phân cấp | xử
cấp xử | phạt
xử phạt | vi
phạt vi | phạm
vi phạm | qua
phạm qua | hình
qua hình | ảnh
hình ảnh | cho
ảnh cho | công
cho công | an
công an | phường
an phường | xã
phường xã | sách
xã sách | xưa
sách xưa | ghi
xưa ghi | lại
ghi lại | cách
lại cách | ăn
cách ăn | yến
ăn yến | như
yến như | sau
như sau | vào
sau vào | lúc
vào lúc | 19h00
lúc 19h00 | lên
19h00 lên | giường
lên giường | nằm
giường nằm | tĩnh
nằm tĩnh | tâm
tĩnh tâm | đến
tâm đến | khoảng
đến khoảng | 20
khoảng 20 | 21h00
20 21h00 | anh
21h00 anh | cũng
anh cũng | đã
cũng đã | phải
đã phải | gác
phải gác | lại
gác lại | nhiều
lại nhiều | tập
nhiều tập | phim
tập phim | của
phim của | các
của các | hãng
các hãng | để
hãng để | tập
để tập | chung
tập chung | cho
chung cho | con
cho con | đường
con đường | âm
đường âm | nhạc
âm nhạc | của
nhạc của | mình
của mình | lại
mình lại | càng
lại càng | không
càng không | khuyến
không khuyến | khích
khuyến khích | các
khích các | doanh
các doanh | nghiệp
doanh nghiệp | việt
nghiệp việt | nam
việt nam | bán
nam bán | hàng
bán hàng | theo
hàng theo | giá
theo giá | cif
giá cif | mở
cif mở | đường
mở đường | ra
đường ra | phía
ra phía | biển
một | thái
một thái | cực
thái cực | khác
cực khác | là
khác là | việc
là việc | đầu
việc đầu | tư
đầu tư | các
tư các | cảng
các cảng | biển
cảng biển | ở
biển ở | việt
ở việt | nam
việt nam | được
nam được | thực
được thực | hiện
thực hiện | một
hiện một | cách
một cách | tràn
cách tràn | lan
tràn lan | địa
lan địa | phương
địa phương | nào
phương nào | cũng
nào cũng | muốn
cũng muốn | có
muốn có | cảng
có cảng | nước
cảng nước | sâu
nước sâu | bất
sâu bất | chấp
bất chấp | điều
chấp điều | kiện
điều kiện | tự
kiện tự | nhiên
tự nhiên | kỹ
nhiên kỹ | thuật
kỹ thuật | và
thuật và | hiệu
và hiệu | quả
hiệu quả | kinh
quả kinh | tế
kinh tế | trọng
tế trọng | tài
trọng tài | tệ
tài tệ | nhất
tệ nhất | kim
nhất kim | nielsen
kim nielsen | người
nielsen người | mắc
người mắc | quá
mắc quá | nhiều
quá nhiều | sai
nhiều sai | lầm
sai lầm | ở
lầm ở | trận
ở trận | croatia
trận croatia | pháp
đại | gia
đại gia | sản
gia sản | xuất
sản xuất | vật
xuất vật | tư
vật tư | ngành
tư ngành | ảnh
ngành ảnh | nhật
ảnh nhật | bản
nhật bản | hôm
bản hôm | thứ
hôm thứ | tư
thứ tư | vừa
tư vừa | qua
vừa qua | đã
qua đã | đệ
đã đệ | đơn
đệ đơn | kiện
đơn kiện | đối
kiện đối | thủ
đối thủ | về
thủ về | tội
về tội | xâm
tội xâm | phạm
xâm phạm | 10
phạm 10 | sáng
10 sáng | chế
sáng chế | liên
chế liên | quan
liên quan | tới
quan tới | công
tới công | nghệ
công nghệ | ảnh
nghệ ảnh | kỹ
ảnh kỹ | thuật
kỹ thuật | số
thuật số | dsc
số dsc | thực
dsc thực | tế
thực tế | có
tế có | rất
có rất | nhiều
rất nhiều | trường
nhiều trường | hợp
trường hợp | bố
hợp bố | mẹ
bố mẹ | có
mẹ có | hbsag
có hbsag | dương
hbsag dương | tính
dương tính | nhưng
tính nhưng | con
nhưng con | sinh
con sinh | ra
sinh ra | hòan
ra hòan | tòan
hòan tòan | khỏe
tòan khỏe | mạnh
khỏe mạnh | không
mạnh không | bị
không bị | nhiễm
bị nhiễm | viêm
nhiễm viêm | gan
viêm gan | b
gan b | và
b và | sau
và sau | khi
sau khi | sinh
khi sinh | cháu
sinh cháu | sẽ
cháu sẽ | được
sẽ được | chích
được chích | ngừa
chích ngừa | sau
ngừa sau | 4
sau 4 | năm
4 năm | học
năm học | tập
học tập | miệt
tập miệt | mài
miệt mài | cậu
mài cậu | sinh
cậu sinh | viên
sinh viên | người
viên người | hà
người hà | nội
hà nội | đã
nội đã | tốt
đã tốt | nghiệp
tốt nghiệp | thủ
nghiệp thủ | khoa
thủ khoa | khoa
khoa khoa | công
khoa công | nghệ
công nghệ | thông
nghệ thông | tin
thông tin | trường
tin trường | đại
trường đại | học
đại học | bristol
học bristol | cá
bristol cá | có
cá có | thể
có thể | để
thể để | lâu
để lâu | cả
lâu cả | tháng
cả tháng | khi
tháng khi | ăn
khi ăn | có
ăn có | người
có người | thích
người thích | cứ
thích cứ | lấy
cứ lấy | cái
lấy cái | bánh
cái bánh | tổ
bánh tổ | xắt
tổ xắt | ra
xắt ra | từng
ra từng | miếng
từng miếng | và
miếng và | ăn
và ăn | ngay
ăn ngay | đối
ngay đối | với
đối với | chúng
với chúng | tôi
chúng tôi | giáng
tôi giáng | sinh
giáng sinh | là
sinh là | cơ
là cơ | hội
cơ hội | tốt
hội tốt | để
tốt để | bán
để bán | được
bán được | hàng
được hàng | liang
hàng liang | lina
liang lina | phụ
lina phụ | trách
phụ trách | giao
trách giao | tế
giao tế | của
tế của | zhongyou
của zhongyou | department
zhongyou department | store
department store | ở
store ở | trung
ở trung | tâm
trung tâm | bắc
tâm bắc | kinh
bắc kinh | nói
kinh nói | còn
nói còn | thực
còn thực | ra
thực ra | bà
ra bà | vừa
bà vừa | mua
vừa mua | một
mua một | chai
một chai | rượu
chai rượu | cô
rượu cô | nhắc
cô nhắc | giá
nhắc giá | 50
giá 50 | nghìn
50 nghìn | usd
nghìn usd | để
usd để | bày
để bày | trong
bày trong | nhà
trong nhà | rồi
nhà rồi | con
rồi con | gái
con gái | thị
gái thị | liên
thị liên | đã
liên đã | trực
đã trực | tiếp
trực tiếp | đem
tiếp đem | 20
đem 20 | triệu
20 triệu | đồng
triệu đồng | cho
đồng cho | ông
cho ông | cẩy
ông cẩy | nhưng
cẩy nhưng | thị
nhưng thị | liên
thị liên | vẫn
liên vẫn | không
vẫn không | được
không được | thả
được thả | ra
thả ra | có
ra có | thể
có thể | bây
thể bây | giờ
bây giờ | với
giờ với | chị
với chị | để
chị để | quên
để quên | việc
quên việc | anh
việc anh | ấy
anh ấy | đã
ấy đã | dối
đã dối | lừa
dối lừa | là
lừa là | rất
là rất | khó
rất khó | khăn
khó khăn | strategy
khăn strategy | analytics
strategy analytics | nhận
analytics nhận | định
nhận định | từ
định từ | nay
từ nay | đến
nay đến | cuối
đến cuối | năm
cuối năm | 2006
năm 2006 | số
2006 số | thuê
số thuê | bao
thuê bao | điện
bao điện | thoại
điện thoại | di
thoại di | động
di động | sẽ
động sẽ | đạt
sẽ đạt | mức
đạt mức | 2
mức 2 | 5
2 5 | tỉ
5 tỉ | so
tỉ so | với
so với | 2
với 2 | 1
2 1 | tỉ
1 tỉ | vào
tỉ vào | cuối
vào cuối | năm
cuối năm | 2005
sáng | 10
sáng 10 | 11
10 11 | bộ
11 bộ | trưởng
bộ trưởng | bộ
trưởng bộ | công
bộ công | nghiệp
công nghiệp | hoàng
nghiệp hoàng | trung
hoàng trung | hải
trung hải | đã
hải đã | có
đã có | buổi
có buổi | làm
buổi làm | việc
làm việc | với
việc với | ubnd
với ubnd | tỉnh
ubnd tỉnh | kiên
tỉnh kiên | giang
kiên giang | rất
giang rất | may
rất may | tôi
may tôi | có
tôi có | một
có một | người
một người | vợ
người vợ | luôn
vợ luôn | ủng
luôn ủng | hộ
ủng hộ | mình
hộ mình | trong
mình trong | nghệ
trong nghệ | thuật
nghệ thuật | và
thuật và | đảm
và đảm | đang
đảm đang | việc
đang việc | nhà
việc nhà | anh
nhà anh | tâm
anh tâm | sự
anh | phản
anh phản | ứng
phản ứng | thế
ứng thế | nào
thế nào | trước
nào trước | các
trước các | tin
các tin | đồn
tin đồn | một
đồn một | nhóm
một nhóm | cứu
nhóm cứu | trợ
cứu trợ | vừa
trợ vừa | được
vừa được | thiết
được thiết | lập
thiết lập | nhằm
lập nhằm | ngăn
nhằm ngăn | ngừa
ngăn ngừa | dịch
ngừa dịch | bệnh
dịch bệnh | lây
bệnh lây | lan
lây lan | trong
lan trong | vùng
vụ | bùng
vụ bùng | phát
bùng phát | dịch
phát dịch | ebola
dịch ebola | gần
ebola gần | đây
gần đây | nhất
đây nhất | diễn
nhất diễn | ra
diễn ra | ở
ra ở | nước
ở nước | uganda
nước uganda | 2
uganda 2 | năm
2 năm | trước
năm trước | cướp
trước cướp | đi
cướp đi | sinh
đi sinh | mạng
sinh mạng | của
mạng của | hàng
của hàng | trăm
hàng trăm | người
trăm người | tuy
người tuy | nhiên
tuy nhiên | sức
nhiên sức | mạnh
sức mạnh | tập
mạnh tập | thể
tập thể | của
thể của | những
của những | con
những con | người
con người | biết
người biết | dốc
biết dốc | sức
dốc sức | vì
sức vì | mục
vì mục | tiêu
mục tiêu | chung
tiêu chung | đã
chung đã | tạo
đã tạo | ra
tạo ra | điều
ra điều | thần
điều thần | kỳ
thần kỳ | giờ
kỳ giờ | đây
giờ đây | nga
đây nga | sẽ
nga sẽ | phải
sẽ phải | xây
phải xây | dựng
xây dựng | mối
dựng mối | quan
mối quan | hệ
quan hệ | với
hệ với | các
với các | quốc
các quốc | gia
quốc gia | vệ
gia vệ | tinh
vệ tinh | theo
tinh theo | một
theo một | cách
một cách | mới
cách mới | đây
mới đây | là
đây là | món
là món | ăn
món ăn | mang
ăn mang | đậm
mang đậm | hương
đậm hương | vị
hương vị | nam
vị nam | bộ
nam bộ | văn
bộ văn | hóa
văn hóa | tranh
hóa tranh | luận
tranh luận | chưa
luận chưa | khôi
chưa khôi | phục
khôi phục | được
phục được | không
được không | khí
không khí | trang
khí trang | nhã
trang nhã | như
nhã như | nó
như nó | đã
nó đã | từng
đã từng | có
từng có | 8
có 8 | học
8 học | bổng
học bổng | đh
bổng đh | singapore
đh singapore | ngoài
singapore ngoài | ra
ngoài ra | các
ra các | chuyên
các chuyên | gia
chuyên gia | còn
gia còn | đi
còn đi | về
đi về | những
về những | vùng
những vùng | sâu
vùng sâu | vùng
sâu vùng | xa
vùng xa | nơi
xa nơi | còn
nơi còn | nghèo
còn nghèo | khó
nghèo khó | nhưng
khó nhưng | có
nhưng có | những
có những | đôi
những đôi | chân
đôi chân | biết
chân biết | vượt
biết vượt | lên
vượt lên | so
lên so | với
so với | hoàn
với hoàn | cảnh
hoàn cảnh | để
cảnh để | tìm
để tìm | ra
tìm ra | những
ra những | nhân
những nhân | tố
nhân tố | mới
tố mới | cho
mới cho | điền
cho điền | kinh
điền kinh | vn
kinh vn | ngoài
vn ngoài | ra
